time,average_flux_x,average_flux_y,average_temp,average_temperature_gradient_x,average_temperature_gradient_y
0,0,0,0,0,0
1,113.57847175459,3.3073817000825e-06,973.1321813655,4.0000000000016,-7.0599866548385e-07
