time,average_flux_x,average_flux_y,average_temp,average_temperature_gradient_x,average_temperature_gradient_y
0,0,0,0,0,0
1,90.636059195022,2.8265277620707e-06,773.1656334495,3.9999999999996,-7.0368183148855e-07

